gene_symbol,molecule_chembl_id,action_type,mechanism_of_action
KCNJ11,CHEMBL181,OPENER,"Potassium channel, inwardly rectifying, subfamily J, member 11 opener"
GCK,CHEMBL3219124,ACTIVATOR,Hexokinase type IV activator
GCK,CHEMBL4297508,ACTIVATOR,Hexokinase type IV activator
GCK,CHEMBL2165615,ACTIVATOR,Hexokinase type IV activator
GCK,CHEMBL2165620,ACTIVATOR,Hexokinase type IV activator
GCK,CHEMBL4297302,ACTIVATOR,Hexokinase type IV activator
GCK,CHEMBL4297399,ACTIVATOR,Hexokinase type IV activator
PPARG,CHEMBL1715,AGONIST,Peroxisome proliferator-activated receptor gamma agonist
PPARG,CHEMBL843,AGONIST,Peroxisome proliferator-activated receptor gamma agonist
PPARG,CHEMBL408,AGONIST,Peroxisome proliferator-activated receptor gamma agonist
PPARG,CHEMBL1200760,AGONIST,Peroxisome proliferator-activated receptor gamma agonist
PPARG,CHEMBL704,AGONIST,Peroxisome proliferator-activated receptor gamma agonist
PPARG,CHEMBL1201013,AGONIST,Peroxisome proliferator-activated receptor gamma agonist
PPARG,CHEMBL3545295,AGONIST,Peroxisome proliferator-activated receptor gamma agonist
PPARG,CHEMBL3545176,AGONIST,Peroxisome proliferator-activated receptor gamma agonist
PPARG,CHEMBL5314405,AGONIST,Peroxisome proliferator-activated receptor gamma agonist
PPARG,CHEMBL93747,MODULATOR,Peroxisome proliferator-activated receptor gamma modulator
PPARG,CHEMBL107367,AGONIST,Peroxisome proliferator-activated receptor gamma agonist
PPARG,CHEMBL181954,AGONIST,Peroxisome proliferator-activated receptor gamma agonist
PPARG,CHEMBL5095027,AGONIST,Peroxisome proliferator-activated receptor gamma agonist
PPARG,CHEMBL490029,MODULATOR,Peroxisome proliferator-activated receptor gamma modulator
PPARG,CHEMBL3545020,MODULATOR,Peroxisome proliferator-activated receptor gamma modulator
PPARG,CHEMBL1236924,MODULATOR,Peroxisome proliferator-activated receptor gamma modulator
PPARG,CHEMBL3545278,MODULATOR,Peroxisome proliferator-activated receptor gamma modulator
PPARG,CHEMBL3545279,AGONIST,Peroxisome proliferator-activated receptor gamma agonist
PPARG,CHEMBL2103824,MODULATOR,Peroxisome proliferator-activated receptor gamma modulator
PPARG,CHEMBL329123,AGONIST,Peroxisome proliferator-activated receptor gamma agonist
PPARG,CHEMBL592054,AGONIST,Peroxisome proliferator-activated receptor gamma agonist
