action_type,binding_site_comment,direct_interaction,disease_efficacy,max_phase,mec_id,mechanism_comment,mechanism_of_action,mechanism_refs,molecular_mechanism,molecule_chembl_id,parent_molecule_chembl_id,record_id,selectivity_comment,site_id,target_chembl_id,variant_sequence,gene_symbol
OPENER,,1,1,4,360,,"Potassium channel, inwardly rectifying, subfamily J, member 11 opener","[{'ref_id': 'setid=b16c7832-2fd9-49af-b923-1dc0d91fd6e2#nlm34090-1', 'ref_type': 'DailyMed', 'ref_url': 'http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b16c7832-2fd9-49af-b923-1dc0d91fd6e2#nlm34090-1'}, {'ref_id': '0443-059748 PP. 288, 394', 'ref_type': 'ISBN', 'ref_url': 'http://www.isbnsearch.org/isbn/0443059748'}, {'ref_id': 'Diazoxide', 'ref_type': 'Wikipedia', 'ref_url': 'http://en.wikipedia.org/wiki/Diazoxide'}]",1,CHEMBL181,CHEMBL181,1344985,,,CHEMBL1886,,KCNJ11
ACTIVATOR,,1,1,2,7897,,Hexokinase type IV activator,"[{'ref_id': 'https://openinnovation.astrazeneca.com/azd1656.html', 'ref_type': 'Other', 'ref_url': 'https://openinnovation.astrazeneca.com/azd1656.html'}, {'ref_id': '22943931', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/22943931'}]",1,CHEMBL3219124,CHEMBL3219124,3132460,,,CHEMBL3820,,GCK
ACTIVATOR,,1,1,3,8424,,Hexokinase type IV activator,"[{'ref_id': '29626326', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/29626326'}, {'ref_id': '29707866', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/29707866'}]",1,CHEMBL4297508,CHEMBL4297508,3133081,,,CHEMBL3820,,GCK
ACTIVATOR,,1,1,2,8819,Partial activator,Hexokinase type IV activator,"[{'ref_id': '27870481', 'ref_type': 'PubMed', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/27870481/'}]",1,CHEMBL2165615,CHEMBL2165615,3132561,,,CHEMBL3820,,GCK
ACTIVATOR,,1,1,2,8860,,Hexokinase type IV activator,"[{'ref_id': '24858947', 'ref_type': 'PubMed', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/24858947/'}]",1,CHEMBL2165620,CHEMBL2165620,3132423,,,CHEMBL3820,,GCK
ACTIVATOR,,1,1,2,8951,,Hexokinase type IV activator,"[{'ref_id': '21994424', 'ref_type': 'PubMed', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/21994424/'}]",1,CHEMBL4297302,CHEMBL3580737,3132869,,,CHEMBL3820,,GCK
ACTIVATOR,,1,1,2,9361,,Hexokinase type IV activator,"[{'ref_id': '35067153', 'ref_type': 'PubMed', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/35067153/'}]",1,CHEMBL4297399,CHEMBL4297399,3132967,,,CHEMBL3820,,GCK
AGONIST,,1,1,4,422,,Peroxisome proliferator-activated receptor gamma agonist,"[{'ref_id': 'setid=d2ddc491-88a9-4063-9150-443b4fa4330c', 'ref_type': 'DailyMed', 'ref_url': 'http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d2ddc491-88a9-4063-9150-443b4fa4330c'}]",1,CHEMBL1715,CHEMBL595,1343224,,,CHEMBL235,,PPARG
AGONIST,,1,1,4,423,,Peroxisome proliferator-activated receptor gamma agonist,"[{'ref_id': 'setid=28c31e58-0b27-43e2-bae0-9bbb21420e9f', 'ref_type': 'DailyMed', 'ref_url': 'http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=28c31e58-0b27-43e2-bae0-9bbb21420e9f'}]",1,CHEMBL843,CHEMBL121,1343555,Selective,,CHEMBL235,,PPARG
AGONIST,,1,1,4,424,,Peroxisome proliferator-activated receptor gamma agonist,"[{'ref_id': '23388479', 'ref_type': 'PubMed', 'ref_url': 'http://europepmc.org/abstract/MED/23388479'}, {'ref_id': 'Troglitazone', 'ref_type': 'Wikipedia', 'ref_url': 'http://en.wikipedia.org/wiki/Troglitazone'}]",1,CHEMBL408,CHEMBL408,1343693,,,CHEMBL235,,PPARG
