symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
KCNJ11	0.8651421397012851	0.9984995303029797	0.9409313915418738	No data	0.9145725163362355	0.865457038266544	No data	No data	No data	No data	No data	No data	No data	0.7133145042531812	No data	No data	No data	No data	0.921228327080409	No data	No data	1	0	0	1	1	0	0.7948700000000002	1	0.19051296194153333	-0.8256221153453464	0	255	No data	-0.23718000000000003	0.5	0
ABCC8	0.8648497626926691	0.9984995303029797	0.9081901825779761	No data	0.9406759222557879	0.9066612367713315	No data	No data	No data	No data	No data	No data	No data	0.6189714963749121	No data	No data	No data	No data	0.7451875913653228	No data	0.6047921859992851	1	0	0	1	1	0	0.7722949999999997	1	-0.2401544401544402	-0.2635707820230229	0	255	No data	-0.19670999999999986	0.75	0
GCK	0.8612340179356642	0.6097469493464107	0.7369579153899929	0.9902327367751212	0.9033637394077025	0.865457038266544	No data	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9141134251509129	No data	0.7407161861763361	1	0	0	1	1	1	0.7957000000000001	1	-0.177826806398235	-0.922305020944208	0	No data	No data	0	0.5	0
PPARG	0.8486094742672278	0.9970828321891484	0.8842978611619482	0.26178815367486796	0.8475039768737684	0.9190679877429972	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.901977163012148	No data	0.5736654536829061	1	0	0	1	1	1	0.9157899999999998	1	-0.5346938775510204	-0.9812084574342594	0	255	255	0	0.5	0
INSR	0.788737101505948	0.9979912394828367	0.7363251681341715	No data	0.616036541579776	No data	No data	0.3039653988058105	0.4137306817079088	No data	No data	No data	No data	0.19453785523571876	No data	No data	No data	No data	0.3903824902909539	No data	0.5515063761099624	1	1	0	1	1	1	0.7250349999999998	1	-0.6252619966905681	-0.9211979829372365	0	255	No data	0	-1	-1
HNF1B	0.7845862621103779	No data	0.8805259280466547	No data	0.9035850013823753	0.932319565700195	No data	0.3039653988058105	0.3039653988058105	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6077414614144626	No data	No data	No data	0	0	0	0	0	0.5870750000000001	No data	-0.9318257032542747	-0.681454758943373	0	No data	No data	0	0.5	0
HNF1A	0.7796412149128071	No data	0.885408320083747	0.8539084276359897	0.8993539262936334	0.8274613634158176	No data	No data	No data	No data	No data	No data	No data	0.24610727383978453	No data	No data	No data	No data	0.9549452326382186	No data	No data	No data	0	0	0	0	0	0.7305849999999999	No data	-0.7123000551571981	-0.9497585121248403	0	No data	255	0	0.75	0.5
HNF4A	0.7763132041013777	No data	0.9094747603307126	0.5697686144054676	0.8819536171415432	0.7599134970145264	No data	0.3039653988058105	0.3039653988058105	No data	No data	No data	No data	0.19757750922377684	No data	No data	No data	No data	0.42040671074691427	No data	0.4129673908175742	1	0	0	1	1	0	0.6570799999999999	No data	-0.7523441809156095	-0.8975101676580024	0	255	No data	-0.20353999999999992	0.75	0.5
WFS1	0.7695113148537099	No data	0.916338265581879	No data	0.9341673782706041	0.8274613634158176	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5227956326355736	No data	0.5075799985892028	No data	0	0	0	0	0	0.3426949999999998	No data	0.7615002757859901	-0.7407455288547526	0	No data	No data	No data	-1	0
GLP1R	0.7667004145281737	0.9977667725629762	0.8989740721269414	No data	0.19453785523571876	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9892402477917109	No data	0.5639925992142412	1	1	0	1	1	0	0.60043	No data	-0.6955322669608384	-0.271069112694145	0	255	No data	0	0.5	0.5
