stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000000233	9606.ENSP00000389095	ARF5	CYTH1	9606	0.765	0	0	0	0.047	0.053	0	0.761
9606.ENSP00000000233	9606.ENSP00000249923	ARF5	COPB1	9606	0.846	0	0	0	0.137	0.157	0.5	0.628
9606.ENSP00000000233	9606.ENSP00000482620	ARF5	RAB11FIP4	9606	0.847	0	0	0	0.053	0.364	0	0.767
9606.ENSP00000003084	9606.ENSP00000262461	CFTR	SLC12A2	9606	0.816	0	0	0	0.073	0.071	0	0.804
9606.ENSP00000003084	9606.ENSP00000356102	CFTR	SLC26A9	9606	0.91	0	0	0	0.042	0.322	0	0.873
9606.ENSP00000003084	9606.ENSP00000302961	CFTR	HSPA4	9606	0.925	0	0	0	0.062	0.746	0	0.713
9606.ENSP00000003084	9606.ENSP00000357484	CFTR	GOPC	9606	0.992	0	0	0	0.06	0.63	0.7	0.937
9606.ENSP00000003302	9606.ENSP00000478887	USP28	MYC	9606	0.966	0	0	0	0	0.791	0.7	0.507
9606.ENSP00000003302	9606.ENSP00000474725	USP28	FBXW7	9606	0.966	0	0	0	0.067	0.31	0	0.952
9606.ENSP00000011292	9606.ENSP00000358223	CPA1	PNLIP	9606	0.899	0	0	0	0.79	0.045	0	0.541
9606.ENSP00000011292	9606.ENSP00000303963	CPA1	CTRB2	9606	0.939	0	0.003	0	0.875	0.126	0	0.491
9606.ENSP00000011292	9606.ENSP00000354294	CPA1	CTRB1	9606	0.973	0	0.003	0	0.938	0.126	0	0.556
9606.ENSP00000052754	9606.ENSP00000342235	DCN	ERBB4	9606	0.922	0	0	0	0.047	0.094	0.9	0.208
9606.ENSP00000052754	9606.ENSP00000363089	DCN	TLR4	9606	0.988	0	0	0	0.056	0	0.9	0.89
9606.ENSP00000155840	9606.ENSP00000486891	KCNQ1	TCF7L2	9606	0.714	0	0	0	0.05	0	0	0.712
9606.ENSP00000155840	9606.ENSP00000410242	KCNQ1	IGF2BP2	9606	0.739	0	0	0	0	0	0	0.739
9606.ENSP00000155840	9606.ENSP00000345708	KCNQ1	KCNJ11	9606	0.749	0	0	0	0.071	0	0	0.741
9606.ENSP00000155840	9606.ENSP00000415011	KCNQ1	SLC30A8	9606	0.755	0	0	0	0	0	0	0.755
9606.ENSP00000155840	9606.ENSP00000282728	KCNQ1	HHEX	9606	0.772	0	0	0	0.11	0	0	0.754
9606.ENSP00000155840	9606.ENSP00000274695	KCNQ1	CDKAL1	9606	0.833	0	0	0	0	0	0	0.833
9606.ENSP00000155840	9606.ENSP00000413720	KCNQ1	CDKN1C	9606	0.918	0	0	0	0.042	0	0	0.918
9606.ENSP00000155840	9606.ENSP00000262461	KCNQ1	SLC12A2	9606	0.95	0	0	0	0.062	0	0.9	0.514
9606.ENSP00000155840	9606.ENSP00000294016	KCNQ1	ADCY9	9606	0.95	0	0	0	0	0.051	0.9	0.518
9606.ENSP00000155840	9606.ENSP00000463778	KCNQ1	KCNJ12	9606	0.954	0	0	0	0.072	0	0.9	0.547
9606.ENSP00000155840	9606.ENSP00000328968	KCNQ1	SCN5A	9606	0.973	0	0	0	0	0.07	0	0.972
9606.ENSP00000159111	9606.ENSP00000366271	KDM4B	KDM2B	9606	0.779	0	0	0	0.06	0.066	0	0.768
9606.ENSP00000159111	9606.ENSP00000405330	KDM4B	ESR1	9606	0.922	0	0	0	0.049	0.522	0.5	0.698
9606.ENSP00000159111	9606.ENSP00000382204	KDM4B	JMJD1C	9606	0.952	0	0	0	0.049	0	0	0.952
9606.ENSP00000160373	9606.ENSP00000365730	CTTNBP2	STK24	9606	0.995	0	0	0	0	0.994	0	0.32
9606.ENSP00000160373	9606.ENSP00000263918	CTTNBP2	STRN	9606	0.997	0	0	0	0.108	0.994	0	0.618
9606.ENSP00000161863	9606.ENSP00000258729	YTHDC2	IGF2BP3	9606	0.836	0	0	0	0.042	0	0	0.836
